import time: self [us] | cumulative | imported package
import time:       490 |      25699 |                 numpy.core
import time:       270 |        270 |                   numpy.lib.mixins
import time:       347 |        347 |                       numpy.lib.ufunclike
import time:       971 |       1318 |                     numpy.lib.type_check
import time:       747 |       2065 |                   numpy.lib.scimath
import time:       938 |        938 |                             numpy.lib.twodim_base
import time:       189 |        189 |                             numpy.linalg.lapack_lite
import time:       235 |        235 |                             numpy.linalg._umath_linalg
import time:      1764 |       3125 |                           numpy.linalg.linalg
import time:       141 |       3266 |                         numpy.linalg
import time:       291 |       3557 |                       numpy.matrixlib.defmatrix
import time:       132 |       3688 |                     numpy.matrixlib
import time:       444 |        444 |                       numpy.lib.histograms
import time:      2664 |       3107 |                     numpy.lib.function_base
import time:       322 |        322 |                     numpy.lib.stride_tricks
import time:       638 |       7753 |                   numpy.lib.index_tricks
import time:      1153 |       1153 |                   numpy.lib.nanfunctions
import time:      1116 |       1116 |                   numpy.lib.shape_base
import time:      1124 |       1124 |                   numpy.lib.polynomial
import time:       812 |        812 |                   numpy.lib.utils
import time:       853 |        853 |                   numpy.lib.arraysetops
import time:       282 |        282 |                     numpy.lib.format
import time:       253 |        253 |                     numpy.lib._datasource
import time:       331 |        331 |                     numpy.lib._iotools
import time:       747 |       1612 |                   numpy.lib.npyio
import time:       844 |        844 |                   numpy.lib.financial
import time:       161 |        161 |                   numpy.lib.arrayterator
import time:       360 |        360 |                   numpy.lib.arraypad
import time:       184 |        184 |                   numpy.lib._version
import time:       332 |      18633 |                 numpy.lib
import time:       136 |        136 |                     numpy.fft._pocketfft_internal
import time:      1149 |       1284 |                   numpy.fft._pocketfft
import time:       289 |        289 |                   numpy.fft.helper
import time:       152 |       1724 |                 numpy.fft
import time:       277 |        277 |                     numpy.polynomial.polyutils
import time:       365 |        365 |                     numpy.polynomial._polybase
import time:       345 |        987 |                   numpy.polynomial.polynomial
import time:       321 |        321 |                   numpy.polynomial.chebyshev
import time:       270 |        270 |                   numpy.polynomial.legendre
import time:       286 |        286 |                   numpy.polynomial.hermite
import time:       351 |        351 |                   numpy.polynomial.hermite_e
import time:       279 |        279 |                   numpy.polynomial.laguerre
import time:       173 |       2664 |                 numpy.polynomial
import time:       211 |        211 |                           backports_abc
import time:       489 |        700 |                         numpy.random._common
import time:       433 |       1132 |                       numpy.random.bit_generator
import time:       209 |        209 |                       numpy.random._bounded_integers
import time:       198 |        198 |                       numpy.random._mt19937
import time:      1250 |       2788 |                     numpy.random.mtrand
import time:       223 |        223 |                     numpy.random._philox
import time:       192 |        192 |                     numpy.random._pcg64
import time:       171 |        171 |                     numpy.random._sfc64
import time:       502 |        502 |                     numpy.random._generator
import time:       211 |       4085 |                   numpy.random._pickle
import time:       203 |       4288 |                 numpy.random
import time:       469 |        469 |                 numpy.ctypeslib
import time:      2568 |       2568 |                   numpy.ma.core
import time:       568 |        568 |                   numpy.ma.extras
import time:       212 |       3347 |                 numpy.ma
import time:      1832 |      59083 |               numpy
import time:       134 |        134 |               determined.tensorboard.metric_writers.util
import time:       285 |      59501 |             determined.tensorboard.metric_writers.callback
import time:       133 |      59634 |           determined.tensorboard.metric_writers
import time:       145 |        145 |             determined.tensorboard.util
import time:       212 |        356 |           determined.tensorboard.base
import time:       174 |        174 |             determined.tensorboard.azure
import time:       164 |        164 |             determined.tensorboard.gcs
import time:       169 |        169 |             determined.tensorboard.hdfs
import time:       168 |        168 |             determined.tensorboard.s3
import time:       153 |        153 |             determined.tensorboard.shared
import time:       224 |       1049 |           determined.tensorboard.build
import time:       122 |      61159 |         determined.tensorboard
import time:       340 |        340 |                 determined.common.experimental.session
import time:       509 |        848 |               determined.common.experimental.checkpoint._checkpoint
import time:       170 |       1017 |             determined.common.experimental.checkpoint
import time:       406 |        406 |               determined.common.experimental.experiment
import time:       525 |        525 |               determined.common.experimental.model
import time:       170 |        170 |               determined.common.experimental.trial
import time:       315 |       1415 |             determined.common.experimental.determined
import time:       140 |       2572 |           determined.common.experimental
import time:        18 |       2590 |         determined.common.experimental.session
import time:       260 |      64008 |       determined._generic._checkpointing
import time:       335 |        335 |       determined._generic._training
import time:       350 |        350 |       determined._generic._searcher
import time:       209 |        209 |       determined._generic._preemption
import time:       156 |        156 |       determined._generic._context
import time:       141 |      65197 |     determined._generic
import time:       151 |        151 |     determined._trial
import time:       125 |        125 |     determined._hparam
import time:      1014 |       1014 |       determined.profiler
import time:       555 |        555 |       determined.workload
import time:       261 |       1829 |     determined._trial_controller
import time:       368 |        368 |     determined.util
import time:       254 |     500710 |   determined
import time:       201 |        201 |         wcwidth
import time:      1761 |       1961 |       tabulate
import time:       318 |       2278 |     determined.cli.render
import time:       448 |        448 |       determined.common.declarative_argparse
import time:       219 |        666 |     determined.cli.task
import time:       346 |       3289 |   determined.cli.agent
import time:       193 |        193 |   determined.cli.checkpoint
import time:       138 |        138 |         argcomplete.compat
import time:       254 |        392 |       argcomplete.completers
import time:       201 |        201 |         StringIO
import time:       171 |        372 |       argcomplete.my_shlex
import time:       183 |        183 |       argcomplete.my_argparse
import time:       124 |        124 |       argcomplete.shell_integration
import time:       472 |       1540 |     argcomplete
import time:       142 |        142 |         distutils
import time:       282 |        282 |         distutils.errors
import time:       105 |        105 |         distutils.dep_util
import time:        99 |         99 |           distutils.debug
import time:       117 |        117 |           distutils.log
import time:       126 |        341 |         distutils.spawn
import time:       299 |       1167 |       distutils.util
import time:       210 |        210 |               runpy
import time:       199 |        408 |             determined.load._native
import time:       120 |        120 |             determined.load._trial
import time:       103 |        630 |           determined.load
import time:       232 |        862 |         determined.experimental._native
import time:       106 |        967 |       determined.experimental
import time:       358 |        358 |       determined.cli.command
import time:       452 |       2943 |     determined.cli.experiment
import time:       170 |        170 |         yaml.error
import time:       296 |        296 |         yaml.tokens
import time:       225 |        225 |         yaml.events
import time:       137 |        137 |         yaml.nodes
import time:      5946 |       5946 |           yaml.reader
import time:       253 |        253 |           yaml.scanner
import time:       586 |        586 |           yaml.parser
import time:       139 |        139 |           yaml.composer
import time:       954 |        954 |           yaml.constructor
import time:      2008 |       2008 |           yaml.resolver
import time:       253 |      10135 |         yaml.loader
import time:       235 |        235 |           yaml.emitter
import time:       140 |        140 |           yaml.serializer
import time:       209 |        209 |           yaml.representer
import time:       178 |        761 |         yaml.dumper
import time:        50 |         50 |             yaml.yaml
import time:       215 |        264 |           yaml._yaml
import time:       257 |        521 |         yaml.cyaml
import time:       291 |      12533 |       yaml
import time:       140 |        140 |             backports_abc
import time:       146 |        146 |               backports_abc
import time:       143 |        143 |                 backports_abc
import time:       136 |        136 |                   backports_abc
import time:       361 |        496 |                 pydantic.typing
import time:      1399 |       2037 |               pydantic.errors
import time:       146 |        146 |                 backports_abc
import time:       139 |        139 |                   backports_abc
import time:       171 |        310 |                 pydantic.version
import time:       767 |       1222 |               pydantic.utils
import time:      1470 |       4874 |             pydantic.class_validators
import time:       141 |        141 |               backports_abc
import time:       137 |        137 |                   backports_abc
import time:       145 |        145 |                   colorsys
import time:       438 |        718 |                 pydantic.color
import time:       139 |        139 |                   backports_abc
import time:       138 |        138 |                     backports_abc
import time:      1747 |       1747 |                     pydantic.datetime_parse
import time:       519 |       2404 |                   pydantic.validators
import time:      1361 |       3903 |                 pydantic.types
import time:       216 |       4836 |               pydantic.json
import time:       460 |       5436 |             pydantic.error_wrappers
import time:       146 |        146 |               backports_abc
import time:       524 |        670 |             pydantic.fields
import time:       143 |        143 |               backports_abc
import time:       225 |        225 |               pydantic.parse
import time:       139 |        139 |                 backports_abc
import time:       137 |        137 |                   backports_abc
import time:       775 |        912 |                 pydantic.networks
import time:       577 |       1627 |               pydantic.schema
import time:      1193 |       3186 |             pydantic.main
import time:       432 |      14735 |           pydantic.dataclasses
import time:       158 |        158 |           pydantic.annotated_types
import time:       269 |        269 |           pydantic.decorator
import time:       138 |        138 |             backports_abc
import time:       508 |        645 |           pydantic.env_settings
import time:       239 |        239 |           pydantic.tools
import time:       297 |      16340 |         pydantic
import time:       587 |        587 |                 dataclasses
import time:      3020 |       3606 |               determined.common.api.fastapi_client.models
import time:       515 |       4121 |             determined.common.api.fastapi_client
import time:       108 |       4229 |           determined.common.api.fastapi_client.api
import time:       238 |       4466 |         determined.common.api.fastapi_client.api.jobs_api
import time:       116 |        116 |             httpx.__version__
import time:       468 |        468 |                   httpx._exceptions
import time:        92 |         92 |                           rfc3986.compat
import time:       221 |        221 |                           rfc3986.exceptions
import time:       160 |        160 |                             rfc3986.abnf_regexp
import time:     21578 |      21737 |                           rfc3986.misc
import time:       211 |        211 |                           rfc3986.normalizers
import time:       153 |        153 |                               rfc3986.validators
import time:       145 |        297 |                             rfc3986._mixin
import time:       232 |        529 |                           rfc3986.uri
import time:       267 |      23055 |                         rfc3986.iri
import time:       353 |        353 |                         rfc3986.parseresult
import time:       145 |      23552 |                       rfc3986.api
import time:       172 |      23723 |                     rfc3986
import time:        89 |         89 |                           httpx._transports
import time:       335 |        423 |                         httpx._transports.base
import time:      1033 |       1033 |                         httpx._types
import time:       116 |        116 |                             sniffio._version
import time:       136 |        136 |                             sniffio._impl
import time:       168 |        419 |                           sniffio
import time:       565 |        984 |                         httpx._utils
import time:       259 |       2698 |                       httpx._multipart
import time:       278 |       2976 |                     httpx._content
import time:       138 |        138 |                         brotlicffi
import time:       130 |        130 |                         brotli
import time:        98 |        366 |                       httpx._compat
import time:       276 |        641 |                     httpx._decoders
import time:       898 |        898 |                     httpx._status_codes
import time:       839 |      29075 |                   httpx._models
import time:       406 |      29947 |                 httpx._auth
import time:       338 |        338 |                 httpx._config
import time:       164 |        164 |                 httpx._transports.asgi
import time:       116 |        116 |                       httpcore._async
import time:       131 |        131 |                       httpcore._types
import time:       321 |        568 |                     httpcore._async.base
import time:        90 |         90 |                         httpcore._backends
import time:       185 |        185 |                         httpcore._backends.base
import time:       266 |        266 |                           httpcore._exceptions
import time:       162 |        162 |                           httpcore._utils
import time:       185 |        612 |                         httpcore._backends.sync
import time:       164 |       1050 |                       httpcore._backends.auto
import time:       107 |        107 |                       httpcore._threadlock
import time:       119 |        119 |                         httpcore._async.http
import time:        93 |         93 |                                   h11._abnf
import time:       141 |        141 |                                   h11._util
import time:       370 |        604 |                                 h11._headers
import time:       263 |        866 |                               h11._events
import time:       237 |        237 |                                 h11._state
import time:      1006 |       1243 |                               h11._readers
import time:       163 |        163 |                               h11._receivebuffer
import time:       152 |        152 |                               h11._writers
import time:       244 |       2665 |                             h11._connection
import time:        84 |         84 |                             h11._version
import time:       165 |       2913 |                           h11
import time:        90 |         90 |                               httpcore._sync
import time:       321 |        410 |                             httpcore._sync.base
import time:       145 |        555 |                           httpcore._bytestreams
import time:       335 |       3802 |                         httpcore._async.http11
import time:       224 |       4144 |                       httpcore._async.connection
import time:       287 |       5586 |                     httpcore._async.connection_pool
import time:       177 |        177 |                     httpcore._async.http_proxy
import time:       111 |        111 |                         httpcore._sync.http
import time:       281 |        281 |                         httpcore._sync.http11
import time:       242 |        633 |                       httpcore._sync.connection
import time:       258 |        890 |                     httpcore._sync.connection_pool
import time:       172 |        172 |                     httpcore._sync.http_proxy
import time:       208 |       7599 |                   httpcore
import time:       304 |       7903 |                 httpx._transports.default
import time:       158 |        158 |                 httpx._transports.wsgi
import time:      1172 |      39679 |               httpx._client
import time:       136 |      39815 |             httpx._api
import time:       141 |        141 |             httpx._transports.mock
import time:       240 |      40311 |           httpx
import time:       418 |      40728 |         determined.common.api.fastapi_client.exceptions
import time:       650 |      62183 |       determined.common.api.fapi
import time:       338 |      75053 |     determined.cli.job
import time:       134 |        134 |     determined.cli.master
import time:       160 |        160 |     determined.cli.model
import time:       246 |        246 |     determined.cli.notebook
import time:        94 |         94 |       determined.cli.errors
import time:       139 |        233 |     determined.cli.oauth
import time:       143 |        143 |     determined.cli.remote
import time:       115 |        115 |     determined.cli.resources
import time:       220 |        220 |       appdirs
import time:       224 |        444 |     determined.cli.shell
import time:       153 |        153 |     determined.cli.sso
import time:       304 |        304 |     determined.cli.template
import time:       163 |        163 |     determined.cli.tensorboard
import time:       166 |        166 |     determined.cli.trial
import time:       300 |        300 |     determined.cli.user
import time:       119 |        119 |         packaging.__about__
import time:       154 |        273 |       packaging
import time:       120 |        120 |         packaging._structures
import time:       806 |        926 |       packaging.version
import time:       123 |       1321 |     determined.cli.version
import time:        90 |         90 |             determined.deploy.aws
import time:       110 |        110 |             determined.deploy.errors
import time:       170 |        170 |                 tqdm._monitor
import time:        89 |         89 |                 tqdm._tqdm_pandas
import time:       307 |        307 |                     tqdm.utils
import time:       878 |       1184 |                   tqdm.std
import time:        81 |         81 |                     tqdm._dist_ver
import time:        93 |        173 |                   tqdm.version
import time:       401 |       1757 |                 tqdm.cli
import time:       150 |        150 |                 tqdm.gui
import time:       182 |       2346 |               tqdm
import time:       150 |        150 |               determined.deploy.aws.constants
import time:       249 |       2744 |             determined.deploy.aws.aws
import time:        94 |         94 |             determined.deploy.aws.deployment_types
import time:     25435 |      25435 |               determined.deploy.healthcheck
import time:       278 |      25712 |             determined.deploy.aws.deployment_types.base
import time:       229 |        229 |             determined.deploy.aws.deployment_types.govcloud
import time:       152 |        152 |             determined.deploy.aws.deployment_types.secure
import time:       120 |        120 |             determined.deploy.aws.deployment_types.simple
import time:       137 |        137 |             determined.deploy.aws.deployment_types.vpc
import time:       182 |        182 |             determined.deploy.aws.preflight
import time:       321 |      29887 |           determined.deploy.aws.cli
import time:        96 |         96 |             determined.deploy.gcp
import time:        99 |         99 |             determined.deploy.gcp.constants
import time:       191 |        191 |                 googleapiclient
import time:       315 |        315 |                   gzip
import time:       147 |        147 |                   socks
import time:       310 |        310 |                   httplib2.socks
import time:      7945 |       7945 |                     pyparsing
import time:       217 |        217 |                     httplib2.error
import time:       729 |       8890 |                   httplib2.auth
import time:       112 |        112 |                   httplib2.iri2uri
import time:       139 |        139 |                     ca_certs_locater
import time:       113 |        251 |                   httplib2.certs
import time:      1039 |      11060 |                 httplib2
import time:       141 |        141 |                     uritemplate.orderedset
import time:       157 |        157 |                       uritemplate.variable
import time:       185 |        342 |                     uritemplate.template
import time:       125 |        607 |                   uritemplate.api
import time:       167 |        773 |                 uritemplate
import time:       105 |        105 |                 google.auth.transport.mtls
import time:       314 |        314 |                 google_auth_httplib2
import time:       137 |        137 |                   oauth2client
import time:       113 |        250 |                 googleapiclient._auth
import time:       109 |        109 |                 googleapiclient.mimeparse
import time:       109 |        109 |                   googleapiclient._helpers
import time:       278 |        387 |                 googleapiclient.errors
import time:       664 |        664 |                   googleapiclient.model
import time:       459 |       1122 |                 googleapiclient.http
import time:       166 |        166 |                 googleapiclient.schema
import time:       640 |      15113 |               googleapiclient.discovery
import time:       114 |        114 |               determined.deploy.gcp.preflight
import time:       188 |      15414 |             determined.deploy.gcp.gcp
import time:       265 |      15873 |           determined.deploy.gcp.cli
import time:        99 |         99 |             determined.deploy.local
import time:       174 |        174 |                         websocket._exceptions
import time:       133 |        133 |                             wsaccel
import time:        14 |        147 |                           wsaccel.utf8validator
import time:       114 |        261 |                         websocket._utils
import time:       230 |        663 |                       websocket._abnf
import time:       136 |        136 |                               Cookie
import time:       111 |        246 |                             websocket._cookiejar
import time:       116 |        116 |                               websocket._logging
import time:        95 |         95 |                                 websocket._ssl_compat
import time:       133 |        228 |                               websocket._socket
import time:       108 |        108 |                               websocket._url
import time:       135 |        135 |                               socks
import time:       180 |        763 |                             websocket._http
import time:       614 |       1623 |                           websocket._handshake
import time:       176 |       1798 |                         websocket._core
import time:       169 |       1967 |                       websocket._app
import time:       172 |       2801 |                     websocket
import time:        79 |         79 |                           docker.credentials.constants
import time:       122 |        122 |                           docker.credentials.errors
import time:        90 |         90 |                           docker.credentials.utils
import time:       175 |        465 |                         docker.credentials.store
import time:        98 |        563 |                       docker.credentials
import time:       340 |        340 |                       docker.errors
import time:        96 |         96 |                           docker.utils.fnmatch
import time:        81 |         81 |                             docker.version
import time:        90 |        171 |                           docker.constants
import time:       271 |        537 |                         docker.utils.build
import time:       436 |        436 |                             distutils.version
import time:       109 |        109 |                                   docker.transport.basehttpadapter
import time:       190 |        298 |                                 docker.transport.unixconn
import time:       119 |        119 |                                 docker.transport.ssladapter
import time:       135 |        135 |                                     win32file
import time:       179 |        313 |                                   docker.transport.npipesocket
import time:       111 |        423 |                                 docker.transport.npipeconn
import time:       133 |        133 |                                     paramiko._version
import time:       125 |        125 |                                           paramiko.py3compat
import time:       154 |        279 |                                         paramiko.common
import time:       192 |        192 |                                           invoke
import time:       228 |        228 |                                           paramiko.ssh_exception
import time:       335 |        754 |                                         paramiko.config
import time:       159 |       1191 |                                       paramiko.util
import time:       141 |        141 |                                         paramiko.message
import time:       176 |        176 |                                         paramiko.server
import time:       136 |        136 |                                           gssapi
import time:       127 |        127 |                                           pywintypes
import time:       252 |        514 |                                         paramiko.ssh_gss
import time:       217 |       1046 |                                       paramiko.auth_handler
import time:       155 |        155 |                                         paramiko.file
import time:       129 |        129 |                                         paramiko.buffered_pipe
import time:       128 |        128 |                                         paramiko.pipe
import time:       331 |        742 |                                       paramiko.channel
import time:       109 |        109 |                                       paramiko.compress
import time:       129 |        129 |                                         paramiko.ber
import time:       486 |        486 |                                         paramiko.pkey
import time:       200 |        813 |                                       paramiko.dsskey
import time:       153 |        153 |                                           nacl
import time:       207 |        207 |                                               nacl.exceptions
import time:       200 |        200 |                                               nacl._sodium
import time:       183 |        589 |                                             nacl.bindings.crypto_aead
import time:       124 |        124 |                                             nacl.bindings.crypto_box
import time:       115 |        115 |                                             nacl.bindings.crypto_core
import time:       191 |        191 |                                             nacl.bindings.crypto_generichash
import time:       100 |        100 |                                             nacl.bindings.crypto_hash
import time:       109 |        109 |                                             nacl.bindings.crypto_kx
import time:       182 |        182 |                                             nacl.bindings.crypto_pwhash
import time:       113 |        113 |                                             nacl.bindings.crypto_scalarmult
import time:       116 |        116 |                                             nacl.bindings.crypto_secretbox
import time:       135 |        135 |                                             nacl.bindings.crypto_secretstream
import time:       102 |        102 |                                             nacl.bindings.crypto_shorthash
import time:       133 |        133 |                                             nacl.bindings.crypto_sign
import time:        92 |         92 |                                             nacl.bindings.randombytes
import time:        85 |         85 |                                             nacl.bindings.sodium_core
import time:       106 |        106 |                                             nacl.bindings.utils
import time:       285 |       2568 |                                           nacl.bindings
import time:       150 |        150 |                                           nacl.encoding
import time:       121 |        121 |                                             nacl.utils
import time:       172 |        292 |                                           nacl.public
import time:       196 |       3357 |                                         nacl.signing
import time:       131 |       3487 |                                       paramiko.ed25519key
import time:       132 |        132 |                                       paramiko.kex_curve25519
import time:       209 |        209 |                                       paramiko.kex_gex
import time:       129 |        129 |                                       paramiko.kex_group1
import time:       111 |        111 |                                       paramiko.kex_group14
import time:        95 |         95 |                                       paramiko.kex_group16
import time:       150 |        150 |                                       paramiko.kex_ecdh_nist
import time:       202 |        202 |                                       paramiko.kex_gss
import time:       181 |        181 |                                       paramiko.packet
import time:       116 |        116 |                                       paramiko.primes
import time:       134 |        134 |                                       paramiko.rsakey
import time:       194 |        194 |                                       paramiko.ecdsakey
import time:       151 |        151 |                                         paramiko.sftp
import time:       122 |        122 |                                         paramiko.sftp_attr
import time:       168 |        168 |                                         paramiko.sftp_file
import time:       294 |        733 |                                       paramiko.sftp_client
import time:       667 |      10432 |                                     paramiko.transport
import time:       294 |        294 |                                       paramiko.agent
import time:       200 |        200 |                                       paramiko.hostkeys
import time:       227 |        720 |                                     paramiko.client
import time:       121 |        121 |                                       paramiko.sftp_si
import time:       119 |        119 |                                       paramiko.sftp_handle
import time:       182 |        421 |                                     paramiko.sftp_server
import time:       115 |        115 |                                     paramiko.proxy
import time:       217 |      12036 |                                   paramiko
import time:       188 |      12224 |                                 docker.transport.sshconn
import time:       119 |      13181 |                               docker.transport
import time:       110 |      13291 |                             docker.tls
import time:       181 |      13907 |                           docker.utils.utils
import time:       110 |      14017 |                         docker.utils.decorators
import time:       118 |      14672 |                       docker.utils
import time:       115 |        115 |                       docker.utils.config
import time:       218 |      15905 |                     docker.auth
import time:       112 |        112 |                     docker.utils.json_stream
import time:       118 |        118 |                     docker.utils.proxy
import time:        41 |         41 |                       docker.transport.NpipeSocket
import time:       133 |        174 |                     docker.utils.socket
import time:       224 |        224 |                     docker.api.build
import time:       146 |        146 |                     docker.api.config
import time:        98 |         98 |                           docker.types.base
import time:       115 |        115 |                           docker.types.healthcheck
import time:       283 |        495 |                         docker.types.containers
import time:       106 |        106 |                         docker.types.daemon
import time:       137 |        137 |                         docker.types.networks
import time:       408 |        408 |                         docker.types.services
import time:       126 |        126 |                         docker.types.swarm
import time:       133 |       1402 |                       docker.types
import time:       280 |       1682 |                     docker.api.container
import time:       125 |        125 |                     docker.api.daemon
import time:       127 |        127 |                     docker.api.exec_api
import time:       190 |        190 |                     docker.api.image
import time:       504 |        504 |                     docker.api.network
import time:       171 |        171 |                     docker.api.plugin
import time:       129 |        129 |                     docker.api.secret
import time:       184 |        184 |                     docker.api.service
import time:       196 |        196 |                     docker.api.swarm
import time:       119 |        119 |                     docker.api.volume
import time:        37 |         37 |                     docker.transport.NpipeHTTPAdapter
import time:       383 |      23316 |                   docker.api.client
import time:       123 |      23438 |                 docker.api
import time:        90 |         90 |                     docker.models
import time:       119 |        119 |                     docker.models.resource
import time:       163 |        372 |                   docker.models.configs
import time:       188 |        188 |                     docker.models.images
import time:       326 |        514 |                   docker.models.containers
import time:       139 |        139 |                   docker.models.networks
import time:       117 |        117 |                   docker.models.nodes
import time:       131 |        131 |                   docker.models.plugins
import time:       160 |        160 |                   docker.models.secrets
import time:       154 |        154 |                   docker.models.services
import time:       126 |        126 |                   docker.models.swarm
import time:       122 |        122 |                   docker.models.volumes
import time:       223 |       2053 |                 docker.client
import time:       103 |        103 |                     docker.context.config
import time:       174 |        276 |                   docker.context.context
import time:       125 |        125 |                   docker.context.api
import time:       100 |        500 |                 docker.context
import time:       161 |      26150 |               docker
import time:       235 |      26385 |             determined.deploy.local.cluster_utils
import time:        94 |         94 |             determined.deploy.local.preflight
import time:       281 |      26856 |           determined.deploy.local.cli
import time:       188 |      72803 |         determined.deploy.cli
import time:       111 |      72914 |       determined.deploy
import time:        12 |      72926 |     determined.deploy.cli
import time:      1909 |     158244 |   determined.cli.cli
import time:       169 |     662602 | determined.cli
