import time: self [us] | cumulative | imported package
import time:        24 |         24 |                       urllib3.packages.six.moves.urllib
import time:        31 |         54 |                     urllib3.packages.six.moves.urllib.parse
import time:       116 |        760 |                   urllib3.request
import time:       126 |        126 |                     brotli
import time:       248 |        374 |                   urllib3.response
import time:       106 |        106 |                   urllib3.util.queue
import time:       260 |      13848 |                 urllib3.connectionpool
import time:       396 |        396 |                 urllib3.poolmanager
import time:       223 |      28233 |               urllib3
import time:       421 |        421 |               requests.exceptions
import time:       164 |        164 |                     charset_normalizer.assets
import time:       684 |        684 |                       charset_normalizer.constant
import time:       126 |        126 |                         unicodedata2
import time:       135 |        135 |                         unicodedata
import time:       142 |        142 |                         _multibytecodec
import time:       238 |        640 |                       charset_normalizer.utils
import time:       251 |       1574 |                     charset_normalizer.md
import time:       397 |        397 |                     charset_normalizer.models
import time:       172 |       2306 |                   charset_normalizer.cd
import time:       273 |       2578 |                 charset_normalizer.api
import time:       210 |        210 |                 charset_normalizer.legacy
import time:        84 |         84 |                 charset_normalizer.version
import time:       172 |       3043 |               charset_normalizer
import time:       147 |        147 |                     chardet.enums
import time:       113 |        113 |                     chardet.charsetprober
import time:       110 |        369 |                   chardet.charsetgroupprober
import time:       102 |        102 |                     chardet.codingstatemachine
import time:       102 |        102 |                     chardet.escsm
import time:       119 |        321 |                   chardet.escprober
import time:       111 |        111 |                   chardet.latin1prober
import time:       125 |        125 |                       chardet.mbcssm
import time:       111 |        235 |                     chardet.utf8prober
import time:       112 |        112 |                       chardet.mbcharsetprober
import time:       222 |        222 |                         chardet.euctwfreq
import time:       135 |        135 |                         chardet.euckrfreq
import time:       180 |        180 |                         chardet.gb2312freq
import time:       222 |        222 |                         chardet.big5freq
import time:       197 |        197 |                         chardet.jisfreq
import time:       262 |       1216 |                       chardet.chardistribution
import time:       193 |        193 |                       chardet.jpcntx
import time:       125 |       1644 |                     chardet.sjisprober
import time:       119 |        119 |                     chardet.eucjpprober
import time:       108 |        108 |                     chardet.gb2312prober
import time:       104 |        104 |                     chardet.euckrprober
import time:        99 |         99 |                     chardet.cp949prober
import time:       112 |        112 |                     chardet.big5prober
import time:        98 |         98 |                     chardet.euctwprober
import time:       130 |       2645 |                   chardet.mbcsgroupprober
import time:       111 |        111 |                     chardet.hebrewprober
import time:       200 |        200 |                       chardet.sbcharsetprober
import time:       228 |        427 |                     chardet.langbulgarianmodel
import time:       219 |        219 |                     chardet.langgreekmodel
import time:       389 |        389 |                     chardet.langhebrewmodel
import time:       254 |        254 |                     chardet.langrussianmodel
import time:       209 |        209 |                     chardet.langthaimodel
import time:       203 |        203 |                     chardet.langturkishmodel
import time:       140 |       1949 |                   chardet.sbcsgroupprober
import time:       313 |       5706 |                 chardet.universaldetector
import time:        83 |         83 |                 chardet.version
import time:       160 |       5948 |               chardet
import time:        81 |         81 |               requests.__version__
import time:       675 |        675 |                 zipfile
import time:        93 |         93 |                 requests.certs
import time:       336 |        336 |                           numbers
import time:       554 |        889 |                         _decimal
import time:       142 |       1030 |                       decimal
import time:       141 |        141 |                       simplejson.errors
import time:        92 |         92 |                       simplejson.raw_json
import time:        87 |         87 |                         simplejson.compat
import time:       114 |        114 |                           simplejson._speedups
import time:       105 |        219 |                         simplejson.scanner
import time:       146 |        452 |                       simplejson.decoder
import time:       328 |        328 |                       simplejson.encoder
import time:       211 |       2251 |                     simplejson
import time:       151 |        151 |                         urllib.response
import time:       158 |        309 |                       urllib.error
import time:      1101 |       1409 |                     urllib.request
import time:      2964 |       2964 |                     http.cookiejar
import time:      1318 |       1318 |                     http.cookies
import time:       121 |       8061 |                   requests.compat
import time:        85 |       8146 |                 requests._internal_utils
import time:       223 |        223 |                 requests.cookies
import time:       139 |        139 |                 requests.structures
import time:       487 |       9760 |               requests.utils
import time:       113 |        113 |                   idna.package_data
import time:       182 |        182 |                     idna.idnadata
import time:        89 |         89 |                     idna.intranges
import time:       514 |        783 |                   idna.core
import time:       163 |       1057 |                 idna
import time:       350 |       1407 |               requests.packages
import time:       228 |        228 |                   stringprep
import time:       194 |        422 |                 encodings.idna
import time:        88 |         88 |                 requests.hooks
import time:       563 |        563 |                 requests.auth
import time:       300 |        300 |                 requests.status_codes
import time:       273 |       1644 |               requests.models
import time:       127 |        127 |                       socks
import time:       117 |        243 |                     urllib3.contrib.socks
import time:       196 |        439 |                   requests.adapters
import time:       201 |        639 |                 requests.sessions
import time:       109 |        747 |               requests.api
import time:       249 |      51528 |             requests
import time:       203 |      51731 |           determined.common.api.errors
import time:        89 |         89 |           determined.common.api.metric
import time:       256 |        256 |               shlex
import time:       725 |        725 |                 signal
import time:       125 |        125 |                 msvcrt
import time:       146 |        146 |                 _posixsubprocess
import time:       399 |       1394 |               subprocess
import time:       443 |       2092 |             webbrowser
import time:       121 |        121 |               lomond._version
import time:       681 |        681 |                 six
import time:        25 |         25 |                     six.moves
import time:        24 |         49 |                   six.moves.urllib
import time:        28 |         77 |                 six.moves.urllib.parse
import time:      3822 |       3822 |                 lomond.constants
import time:       371 |        371 |                 lomond.errors
import time:       350 |        350 |                 lomond.events
import time:       137 |        137 |                 lomond.compression
import time:      4838 |       4838 |                   lomond.mask
import time:       116 |        116 |                   lomond.opcode
import time:       179 |       5132 |                 lomond.frame
import time:        88 |         88 |                 lomond.extension
import time:       117 |        117 |                 lomond.response
import time:       260 |        260 |                     lomond.parser
import time:       158 |        158 |                         wsaccel
import time:        16 |        174 |                       wsaccel.utf8validator
import time:       125 |        298 |                     lomond.utf8validator
import time:       181 |        737 |                   lomond.frame_parser
import time:       195 |        195 |                   lomond.message
import time:       129 |       1060 |                 lomond.stream
import time:       137 |        137 |                   lomond.proxy
import time:       149 |        149 |                   lomond.selectors
import time:       257 |        542 |                 lomond.session
import time:       215 |        215 |                 lomond.status
import time:       310 |      12896 |               lomond.websocket
import time:       164 |      13180 |             lomond
import time:       152 |        152 |             determined.common.requests
import time:       442 |      15865 |           determined.common.api.request
import time:       202 |        202 |               _uuid
import time:       424 |        625 |             uuid
import time:       175 |        175 |             termcolor
import time:       751 |        751 |               tarfile
import time:        99 |         99 |                     pathspec.compat
import time:       128 |        128 |                     pathspec.pattern
import time:       197 |        423 |                   pathspec.util
import time:       188 |        611 |                 pathspec.pathspec
import time:        89 |         89 |                 pathspec._meta
import time:       238 |        238 |                   pathspec.patterns.gitwildmatch
import time:        93 |        331 |                 pathspec.patterns
import time:       186 |       1216 |               pathspec
import time:       260 |        260 |               determined.common.check
import time:       233 |       2459 |             determined.common.context
import time:       365 |       3622 |           determined.common.api.experiment
import time:       132 |        132 |                 backoff._common
import time:        82 |         82 |                 backoff._jitter
import time:        99 |         99 |                 backoff._sync
import time:       154 |        466 |               backoff._decorator
import time:        89 |         89 |               backoff._wait_gen
import time:       161 |        715 |             backoff
import time:       139 |        139 |                   concurrent
import time:       426 |        426 |                   concurrent.futures._base
import time:       143 |        708 |                 concurrent.futures
import time:       191 |        191 |                 asyncio.constants
import time:       112 |        112 |                     asyncio.format_helpers
import time:       122 |        234 |                   asyncio.base_futures
import time:        92 |         92 |                   asyncio.log
import time:       189 |        515 |                 asyncio.coroutines
import time:       125 |        125 |                     _contextvars
import time:       133 |        257 |                   contextvars
import time:       167 |        167 |                   asyncio.exceptions
import time:       121 |        121 |                     asyncio.base_tasks
import time:       218 |        339 |                   _asyncio
import time:       395 |       1156 |                 asyncio.events
import time:       184 |        184 |                 asyncio.futures
import time:       204 |        204 |                 asyncio.protocols
import time:       221 |        221 |                   asyncio.transports
import time:       275 |        496 |                 asyncio.sslproto
import time:       249 |        249 |                   asyncio.locks
import time:       353 |        353 |                   asyncio.tasks
import time:       264 |        865 |                 asyncio.staggered
import time:       168 |        168 |                 asyncio.trsock
import time:       630 |       5112 |               asyncio.base_events
import time:       112 |        112 |               asyncio.runners
import time:       193 |        193 |               asyncio.queues
import time:       696 |        696 |               asyncio.streams
import time:       188 |        188 |               asyncio.subprocess
import time:       198 |        198 |                 asyncio.base_subprocess
import time:       401 |        401 |                 asyncio.selector_events
import time:       517 |       1116 |               asyncio.unix_events
import time:       208 |       7621 |             asyncio
import time:       258 |       8594 |           determined.common.api.profiler
import time:       205 |      96157 |         determined.common.api
import time:       224 |        224 |           determined.common.storage.base
import time:       214 |        214 |             determined.errors
import time:       164 |        164 |                   azure
import time:       115 |        115 |                   azure.core._version
import time:       167 |        167 |                     azure.core.configuration
import time:       242 |        242 |                           azure.core.pipeline.policies._base
import time:       351 |        351 |                             azure.core.exceptions
import time:       246 |        597 |                           azure.core.pipeline.policies._authentication
import time:       116 |        116 |                           azure.core.pipeline.policies._custom_hook
import time:       133 |        133 |                             urlparse
import time:       168 |        301 |                           azure.core.pipeline.policies._redirect
import time:       124 |        124 |                                   azure.core.utils._connection_string_parser
import time:       101 |        224 |                                 azure.core.utils
import time:       119 |        342 |                               azure.core.utils._utils
import time:       100 |        442 |                             azure.core.pipeline.policies._utils
import time:       384 |        825 |                           azure.core.pipeline.policies._retry
import time:       606 |        606 |                                   typing_extensions
import time:       300 |        905 |                                 azure.core.tracing._abstract_span
import time:        94 |        999 |                               azure.core.tracing
import time:       235 |       1233 |                             azure.core.settings
import time:       149 |       1382 |                           azure.core.pipeline.policies._distributed_tracing
import time:       138 |        138 |                                 xml
import time:       124 |        261 |                               xml.etree
import time:       549 |        549 |                               xml.etree.ElementPath
import time:       271 |        271 |                                 pyexpat
import time:       195 |        466 |                               _elementtree
import time:       555 |       1830 |                             xml.etree.ElementTree
import time:       485 |       2314 |                           azure.core.pipeline.policies._universal
import time:       164 |        164 |                           azure.core.pipeline.policies._base_async
import time:        89 |         89 |                               azure.core.pipeline._tools
import time:        93 |        181 |                             azure.core.pipeline._tools_async
import time:       195 |        376 |                           azure.core.pipeline.policies._authentication_async
import time:       124 |        124 |                           azure.core.pipeline.policies._redirect_async
import time:       139 |        139 |                           azure.core.pipeline.policies._retry_async
import time:       153 |       6728 |                         azure.core.pipeline.policies
import time:       307 |       7034 |                       azure.core.pipeline._base
import time:       288 |        288 |                       azure.core.pipeline._base_async
import time:       241 |       7562 |                     azure.core.pipeline
import time:       133 |        133 |                           urlparse
import time:        33 |         33 |                           six.moves.http_client
import time:       410 |        575 |                         azure.core.pipeline.transport._base
import time:       106 |        106 |                           azure.core.pipeline.transport._bigger_block_size_http_adapters
import time:       231 |        336 |                         azure.core.pipeline.transport._requests_basic
import time:       253 |        253 |                         azure.core.pipeline.transport._base_async
import time:       188 |        188 |                           azure.core.pipeline.transport._base_requests_async
import time:       210 |        398 |                         azure.core.pipeline.transport._requests_asyncio
import time:       126 |       1687 |                       azure.core.pipeline.transport
import time:        12 |       1698 |                     azure.core.pipeline.transport._base
import time:       146 |       9571 |                   azure.core._pipeline_client
import time:       181 |        181 |                   azure.core._match_conditions
import time:       102 |        102 |                   azure.core._enum_meta
import time:       168 |        168 |                   azure.core._pipeline_client_async
import time:       152 |      10449 |                 azure.core
import time:        13 |      10461 |               azure.core.exceptions
import time:        69 |         69 |                 azure.storage
import time:       119 |        119 |                 azure.storage.blob._version
import time:       101 |        101 |                     azure.core.tracing.common
import time:       105 |        205 |                   azure.core.tracing.decorator
import time:       114 |        114 |                   azure.storage.blob._shared
import time:       324 |        324 |                     azure.core.credentials
import time:       107 |        107 |                             msrest.version
import time:      1681 |       1681 |                               configparser
import time:       132 |        132 |                                 urlparse
import time:       399 |        399 |                                 msrest.pipeline.async_abc
import time:       370 |        900 |                               msrest.pipeline
import time:       133 |        133 |                                   urlparse
import time:       212 |        212 |                                   msrest.exceptions
import time:       205 |        205 |                                   msrest.universal_http.async_abc
import time:       345 |        894 |                                 msrest.universal_http
import time:       167 |        167 |                                 oauthlib
import time:       154 |        154 |                                               secrets
import time:       458 |        612 |                                             oauthlib.common
import time:       155 |        155 |                                             oauthlib.oauth2.rfc6749.utils
import time:       487 |        487 |                                               oauthlib.oauth2.rfc6749.errors
import time:       129 |        615 |                                             oauthlib.oauth2.rfc6749.endpoints.base
import time:       174 |       1554 |                                           oauthlib.oauth2.rfc6749.endpoints.authorization
import time:       140 |        140 |                                           oauthlib.oauth2.rfc6749.endpoints.introspect
import time:       126 |        126 |                                                   oauthlib.uri_validate
import time:       150 |        150 |                                                   oauthlib.oauth2.rfc6749.request_validator
import time:       190 |        465 |                                                 oauthlib.oauth2.rfc6749.grant_types.base
import time:       187 |        651 |                                               oauthlib.oauth2.rfc6749.grant_types.authorization_code
import time:       123 |        123 |                                               oauthlib.oauth2.rfc6749.grant_types.client_credentials
import time:       538 |        538 |                                               oauthlib.oauth2.rfc6749.grant_types.implicit
import time:       130 |        130 |                                               oauthlib.oauth2.rfc6749.grant_types.refresh_token
import time:       127 |        127 |                                               oauthlib.oauth2.rfc6749.grant_types.resource_owner_password_credentials
import time:       115 |       1681 |                                             oauthlib.oauth2.rfc6749.grant_types
import time:       127 |        127 |                                             oauthlib.oauth2.rfc6749.endpoints.revocation
import time:       142 |        142 |                                             oauthlib.oauth2.rfc6749.endpoints.token
import time:       165 |       2114 |                                           oauthlib.oauth2.rfc6749.endpoints.metadata
import time:       174 |        174 |                                             oauthlib.oauth2.rfc6749.tokens
import time:       135 |        135 |                                             oauthlib.oauth2.rfc6749.endpoints.resource
import time:       209 |        516 |                                           oauthlib.oauth2.rfc6749.endpoints.pre_configured
import time:       143 |       4466 |                                         oauthlib.oauth2.rfc6749.endpoints
import time:        13 |       4479 |                                       oauthlib.oauth2.rfc6749.endpoints.base
import time:       134 |       4612 |                                     oauthlib.oauth2.rfc6749
import time:       139 |        139 |                                           blinker
import time:       115 |        253 |                                         oauthlib.signals
import time:       132 |        384 |                                       oauthlib.oauth2.rfc6749.parameters
import time:       148 |        148 |                                       oauthlib.oauth2.rfc6749.clients.base
import time:       137 |        669 |                                     oauthlib.oauth2.rfc6749.clients.backend_application
import time:       104 |        104 |                                     oauthlib.oauth2.rfc6749.clients.legacy_application
import time:       108 |        108 |                                     oauthlib.oauth2.rfc6749.clients.mobile_application
import time:       112 |        112 |                                     oauthlib.oauth2.rfc6749.clients.service_application
import time:       117 |        117 |                                     oauthlib.oauth2.rfc6749.clients.web_application
import time:       124 |       5843 |                                   oauthlib.oauth2.rfc6749.clients
import time:       153 |       5995 |                                 oauthlib.oauth2
import time:       347 |       7402 |                               msrest.universal_http.requests
import time:       110 |        110 |                                 msrest.http_logger
import time:       351 |        461 |                               msrest.pipeline.universal
import time:       132 |      10574 |                             msrest.configuration
import time:       131 |        131 |                               urlparse
import time:        99 |         99 |                                           oauthlib.oauth1.rfc5849.utils
import time:       138 |        236 |                                         oauthlib.oauth1.rfc5849.parameters
import time:       164 |        164 |                                         oauthlib.oauth1.rfc5849.signature
import time:       248 |        647 |                                       oauthlib.oauth1.rfc5849
import time:       166 |        166 |                                       oauthlib.oauth1.rfc5849.request_validator
import time:       157 |        157 |                                           oauthlib.oauth1.rfc5849.errors
import time:       128 |        128 |                                           oauthlib.oauth1.rfc5849.endpoints.base
import time:       183 |        467 |                                         oauthlib.oauth1.rfc5849.endpoints.access_token
import time:       113 |        113 |                                         oauthlib.oauth1.rfc5849.endpoints.authorization
import time:       123 |        123 |                                         oauthlib.oauth1.rfc5849.endpoints.request_token
import time:       116 |        116 |                                         oauthlib.oauth1.rfc5849.endpoints.resource
import time:       113 |        113 |                                         oauthlib.oauth1.rfc5849.endpoints.signature_only
import time:       109 |        109 |                                         oauthlib.oauth1.rfc5849.endpoints.pre_configured
import time:       131 |       1170 |                                       oauthlib.oauth1.rfc5849.endpoints
import time:       118 |       2099 |                                     oauthlib.oauth1
import time:       158 |       2257 |                                   requests_oauthlib.oauth1_auth
import time:       131 |        131 |                                     urlparse
import time:       198 |        329 |                                   requests_oauthlib.oauth1_session
import time:       106 |        106 |                                   requests_oauthlib.oauth2_auth
import time:       169 |        169 |                                   requests_oauthlib.oauth2_session
import time:       179 |       3038 |                                 requests_oauthlib
import time:       203 |       3240 |                               msrest.authentication
import time:       258 |        258 |                               msrest.pipeline.requests
import time:       205 |       3833 |                             msrest.service_client
import time:        40 |         40 |                               urllib.quote
import time:       128 |        128 |                                     isodate.duration
import time:        93 |         93 |                                       isodate.isoerror
import time:       203 |        203 |                                       isodate.tzinfo
import time:       308 |        603 |                                     isodate.isotzinfo
import time:       131 |        861 |                                   isodate.isostrf
import time:       130 |        990 |                                 isodate.isodates
import time:       103 |        103 |                                 isodate.isotime
import time:        94 |         94 |                                 isodate.isodatetime
import time:       808 |        808 |                                 isodate.isoduration
import time:       199 |       2191 |                               isodate
import time:       652 |       2882 |                             msrest.serialization
import time:       163 |      17558 |                           msrest
import time:       116 |        116 |                           azure.storage.blob._generated._configuration
import time:      4461 |       4461 |                                   azure.storage.blob._generated.models._azure_blob_storage_enums
import time:      2232 |       6693 |                                 azure.storage.blob._generated.models._models_py3
import time:       221 |       6914 |                               azure.storage.blob._generated.models
import time:       198 |       7112 |                             azure.storage.blob._generated.operations._service_operations
import time:       223 |        223 |                             azure.storage.blob._generated.operations._container_operations
import time:       156 |        156 |                             azure.storage.blob._generated.operations._directory_operations
import time:       368 |        368 |                             azure.storage.blob._generated.operations._blob_operations
import time:       197 |        197 |                             azure.storage.blob._generated.operations._page_blob_operations
import time:       155 |        155 |                             azure.storage.blob._generated.operations._append_blob_operations
import time:       180 |        180 |                             azure.storage.blob._generated.operations._block_blob_operations
import time:       125 |       8511 |                           azure.storage.blob._generated.operations
import time:       165 |      26349 |                         azure.storage.blob._generated._azure_blob_storage
import time:        38 |         38 |                         azure.storage.blob._generated._patch
import time:        97 |      26483 |                       azure.storage.blob._generated
import time:       246 |      26729 |                     azure.storage.blob._shared.constants
import time:      2070 |       2070 |                     azure.storage.blob._shared.models
import time:      1054 |       1054 |                           ipaddress
import time:       201 |        201 |                             multidict._abc
import time:       105 |        105 |                                 multidict._multidict_base
